county_fips,year,classified_assessment_dates
48339,2023,78
48339,2024,23
48339,2025,2
48341,2015,12
48341,2016,26
48341,2017,16
48341,2018,15
48341,2019,22
48341,2020,26
48341,2021,19
48341,2022,41
48341,2023,44
48341,2024,44
48341,2025,13
48343,2015,21
48343,2016,11
48343,2017,2
48343,2018,15
48343,2019,11
48343,2021,3
48343,2022,27
48343,2023,29
48343,2024,6
48343,2025,5
48345,2015,2
48345,2016,15
48345,2017,9
48345,2018,19
48345,2019,17
48345,2020,27
48345,2021,6
48345,2022,52
48345,2023,34
48345,2024,36
48345,2025,7
48347,2015,8
48347,2016,8
48347,2017,6
48347,2018,10
48347,2019,3
48347,2020,2
48347,2022,43
48347,2023,51
48347,2024,2
48347,2025,19
48349,2015,23
48349,2016,20
48349,2017,12
48349,2018,31
48349,2019,18
48349,2020,14
48349,2022,56
48349,2023,57
48349,2024,23
48349,2025,4
48351,2015,27
48351,2016,41
48351,2017,13
48351,2018,17
48351,2019,25
48351,2020,25
48351,2021,13
48351,2022,42
48351,2023,80
48351,2024,36
48351,2025,10
48353,2015,11
48353,2016,31
48353,2017,8
48353,2018,46
48353,2019,27
48353,2020,32
48353,2021,2
48353,2022,65
48353,2023,65
48353,2024,43
48353,2025,5
48355,2016,30
48355,2017,26
48355,2018,9
48355,2019,43
48355,2020,15
48355,2021,10
48355,2022,10
48355,2023,74
48355,2024,52
48355,2025,18
48357,2015,26
48357,2016,41
48357,2017,28
48357,2018,24
48357,2019,17
48357,2020,18
48357,2021,10
48357,2022,49
48357,2023,40
48357,2024,43
48357,2025,16
48359,2015,12
48359,2016,24
48359,2017,9
48359,2018,9
48359,2019,22
48359,2020,25
48359,2021,11
48359,2022,41
48359,2023,24
48359,2024,34
48359,2025,5
48361,2015,21
48361,2016,23
48361,2017,12
48361,2018,13
48361,2019,44
48361,2020,19
48361,2021,9
48361,2022,28
48361,2023,73
48361,2024,36
48361,2025,4
48363,2015,23
48363,2016,30
48363,2017,10
48363,2018,42
48363,2019,23
48363,2020,26
48363,2021,11
48363,2022,61
48363,2023,69
48363,2024,35
48363,2025,9
48365,2015,27
48365,2016,36
48365,2017,12
48365,2018,37
48365,2019,20
48365,2020,17
48365,2021,12
48365,2022,45
48365,2023,47
48365,2024,11
48365,2025,8
48367,2015,6
48367,2016,11
48367,2017,4
48367,2018,24
48367,2019,13
48367,2020,19
48367,2022,56
48367,2023,63
48367,2024,26
48367,2025,3
48369,2015,21
48369,2016,30
48369,2017,25
48369,2018,17
48369,2019,36
48369,2020,30
48369,2021,16
48369,2022,51
48369,2023,52
48369,2024,45
48369,2025,13
48371,2015,25
48371,2016,28
48371,2017,12
48371,2018,21
48371,2019,28
48371,2020,27
48371,2021,11
48371,2022,43
48371,2023,64
48371,2024,49
48371,2025,15
48373,2015,12
48373,2016,28
48373,2017,3
48373,2018,11
48373,2019,15
48373,2020,18
48373,2022,50
48373,2023,71
48373,2024,23
48373,2025,4
48375,2015,2
48375,2016,23
48375,2017,7
48375,2018,12
48375,2019,18
48375,2020,24
48375,2021,8
48375,2022,38
48375,2023,27
48375,2024,44
48375,2025,7
48377,2016,2
48377,2017,6
48377,2018,6
48377,2019,25
48377,2020,63
48377,2021,18
48377,2022,80
48377,2023,96
48377,2024,57
48377,2025,73
48379,2015,14
48379,2016,17
48379,2017,3
48379,2018,20
48379,2019,15
48379,2020,14
48379,2022,50
48379,2023,29
48379,2024,18
48379,2025,1
48381,2015,13
48381,2016,24
48381,2017,9
48381,2018,16
48381,2019,23
48381,2020,20
48381,2021,15
48381,2022,42
48381,2023,35
48381,2024,31
48381,2025,5
48383,2015,18
48383,2016,24
48383,2017,10
48383,2018,40
48383,2019,29
48383,2020,40
48383,2021,10
48383,2022,64
48383,2023,63
48383,2024,58
48383,2025,16
48385,2016,19
48385,2017,1
48385,2018,14
48385,2019,7
48385,2020,21
48385,2021,2
48385,2022,34
48385,2023,53
48385,2024,51
48385,2025,6
48387,2015,38
48387,2016,31
48387,2017,11
48387,2018,29
48387,2019,14
48387,2020,10
48387,2021,10
48387,2022,45
48387,2023,41
48387,2024,17
48387,2025,12
48389,2015,27
48389,2016,39
48389,2017,11
48389,2018,28
48389,2019,26
48389,2020,49
48389,2021,12
48389,2022,47
48389,2023,68
48389,2024,58
48389,2025,17
48391,2015,8
48391,2016,7
48391,2017,11
48391,2019,16
48391,2020,21
48391,2021,4
48391,2022,18
48391,2023,67
48391,2024,18
48391,2025,9
48393,2015,12
48393,2016,26
48393,2017,14
48393,2018,16
48393,2019,23
48393,2020,27
48393,2021,11
48393,2022,46
48393,2023,39
48393,2024,40
48393,2025,11
48395,2015,15
48395,2016,19
48395,2017,14
48395,2018,23
48395,2019,27
48395,2020,37
48395,2021,16
48395,2022,67
48395,2023,81
48395,2024,25
48395,2025,10
48397,2015,24
48397,2016,22
48397,2017,6
48397,2018,27
48397,2019,18
48397,2020,18
48397,2021,2
48397,2022,50
48397,2023,49
48397,2024,33
48397,2025,7
48399,2015,6
48399,2016,20
48399,2017,1
48399,2018,20
48399,2019,15
48399,2020,22
48399,2021,2
48399,2022,49
48399,2023,64
48399,2024,38
48399,2025,2
48401,2015,14
48401,2016,18
48401,2017,1
48401,2018,34
48401,2019,14
48401,2020,7
48401,2021,2
48401,2022,42
48401,2023,54
48401,2024,17
48401,2025,8
48403,2015,23
48403,2016,17
48403,2017,12
48403,2018,21
48403,2019,18
48403,2020,20
48403,2021,4
48403,2022,53
48403,2023,75
48403,2024,21
48403,2025,13
48405,2015,11
48405,2016,14
48405,2017,14
48405,2018,27
48405,2019,10
48405,2020,7
48405,2021,3
48405,2022,43
48405,2023,56
48405,2024,14
48405,2025,1
48407,2015,25
48407,2016,35
48407,2017,17
48407,2018,22
48407,2019,20
48407,2020,26
48407,2021,7
48407,2022,60
48407,2023,76
48407,2024,31
48407,2025,5
48409,2015,16
48409,2016,32
48409,2017,8
48409,2018,1
48409,2019,15
48409,2020,29
48409,2021,2
48409,2022,20
48409,2023,80
48409,2024,25
48409,2025,22
48411,2015,28
48411,2016,20
48411,2017,8
48411,2018,35
48411,2019,24
48411,2020,23
48411,2022,49
48411,2023,71
48411,2024,26
48413,2015,23
48413,2016,19
48413,2017,5
48413,2018,28
48413,2019,16
48413,2020,20
48413,2022,38
48413,2023,68
48413,2024,37
48415,2015,15
48415,2016,21
48415,2017,10
48415,2018,32
48415,2019,36
48415,2020,33
48415,2021,4
48415,2022,62
48415,2023,63
48415,2024,50
48415,2025,12
48417,2015,6
48417,2016,9
48417,2017,5
48417,2018,15
48417,2019,9
48417,2020,21
48417,2021,4
48417,2022,48
48417,2023,65
