stratum,stratum_label,construct_id,counties,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,median_cumulative_classified_days,classified_days_per_1000_valid,warm_season_rate_per_1000,shoulder_rate_per_1000,cool_season_rate_per_1000,pct_days_june_september,long_events_per_100_county_years,pct_classified_days_imputed
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P80_D3_A90_W15,188,27.0,12.0,47.0,5.0,344.5,88.57,205.881,105.837,3.711,77.64,25.484,0.62
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P80_D5_A80_W15,188,25.0,13.0,45.0,3.0,325.0,87.958,157.458,131.801,26.188,59.79,27.853,0.58
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P80_D5_A90_W15,188,17.0,5.0,34.0,2.0,243.0,65.093,156.542,71.801,1.251,80.32,25.484,0.54
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P85_D2_A80_W15,188,40.0,25.0,62.0,11.0,482.0,127.487,180.379,177.638,74.738,47.26,18.327,0.62
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P85_D2_A90_W15,188,24.0,11.75,44.0,6.0,324.0,82.992,179.955,113.083,7.443,72.42,17.311,0.55
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P85_D3_A80_W15,188,29.0,17.0,50.0,6.0,376.5,99.907,156.158,143.96,46.981,52.2,18.327,0.61
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P85_D3_A90_W15,188,19.0,7.0,37.0,4.0,263.0,68.682,155.805,88.702,3.198,75.77,17.311,0.55
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P85_D5_A80_W15,188,16.0,7.0,31.0,2.0,235.5,63.397,113.87,92.625,19.431,59.99,18.327,0.51
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P85_D5_A90_W15,188,11.0,0.0,25.0,2.0,181.5,48.138,113.648,57.239,0.936,78.85,17.311,0.49
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P90_D2_A80_W15,188,27.0,16.0,44.0,8.0,338.0,90.048,124.338,122.957,55.715,46.12,8.897,0.56
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P90_D2_A90_W15,188,15.0,7.0,31.0,5.0,232.5,59.292,124.215,86.846,6.173,69.97,8.559,0.47
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P90_D3_A80_W15,188,18.0,10.0,33.0,4.0,251.0,67.649,104.802,95.487,33.123,51.74,8.897,0.53
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P90_D3_A90_W15,188,11.0,3.0,25.0,2.0,176.5,47.314,104.687,65.288,2.553,73.9,8.559,0.44
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P90_D5_A80_W15,188,9.0,5.0,19.0,1.0,142.0,39.553,71.087,56.038,12.692,60.03,8.897,0.48
imputation_lt_10pct,Counties with less than 10% imputation,HYB_TX_P90_D5_A90_W15,188,5.0,0.0,15.0,1.0,114.0,30.565,71.059,38.326,0.656,77.65,8.559,0.42
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P80_D2_W15,188,73.0,55.0,96.0,20.0,827.0,213.457,233.5,229.808,194.376,36.54,28.191,0.76
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P80_D3_W15,188,56.0,41.0,80.0,12.0,662.5,171.6,207.082,192.145,140.693,40.31,28.191,0.73
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P80_D5_W15,188,32.0,21.0,51.25,4.0,406.5,107.543,157.458,132.246,65.5,48.9,28.191,0.72
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P85_D2_W15,188,53.0,40.0,74.0,16.0,630.5,162.341,180.379,177.809,144.911,37.11,18.375,0.7
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P85_D3_W15,188,39.0,28.0,58.0,8.0,483.0,125.676,156.158,144.194,98.828,41.5,18.375,0.68
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P85_D5_W15,188,21.0,12.0,35.25,3.0,282.5,75.264,113.87,92.726,43.308,50.53,18.375,0.64
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P90_D2_W15,188,34.0,24.0,50.0,11.0,422.0,110.233,124.338,122.996,96.374,37.67,8.897,0.64
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P90_D3_W15,188,24.0,16.0,37.0,6.0,309.5,82.04,104.802,95.542,62.104,42.67,8.897,0.63
imputation_lt_10pct,Counties with less than 10% imputation,REL_TX_P90_D5_W15,188,12.0,5.0,21.0,2.0,166.5,46.112,71.087,56.124,25.878,51.49,8.897,0.67
not_fully_imputed,Counties that are not fully imputed,ABS_TX_A80_D2,232,184.0,168.0,206.0,13.0,2040.5,518.28,967.965,694.756,155.274,62.38,199.569,10.15
not_fully_imputed,Counties that are not fully imputed,ABS_TX_A80_D3,232,177.0,160.0,199.0,10.0,1952.0,497.809,965.623,668.495,124.583,64.79,199.569,10.25
not_fully_imputed,Counties that are not fully imputed,ABS_TX_A80_D5,232,164.0,149.0,186.0,6.0,1817.5,463.209,960.693,603.562,80.388,69.27,199.569,10.34
not_fully_imputed,Counties that are not fully imputed,ABS_TX_A90_D2,232,99.0,84.0,115.0,10.0,1096.5,274.3,717.573,177.502,9.077,87.37,170.886,10.53
not_fully_imputed,Counties that are not fully imputed,ABS_TX_A90_D3,232,95.0,79.0,111.0,8.0,1055.5,261.217,698.934,150.268,4.572,89.37,170.886,10.74
not_fully_imputed,Counties that are not fully imputed,ABS_TX_A90_D5,232,87.0,69.0,105.0,5.0,965.0,239.621,657.083,112.884,2.008,91.59,170.886,10.95
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P80_D2_A80_W15,232,51.0,34.0,77.0,14.0,597.0,158.592,229.303,225.111,88.252,48.29,26.058,8.5
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P80_D2_A90_W15,232,32.0,16.75,53.0,8.0,403.0,102.092,227.96,130.315,7.728,74.58,23.903,8.54
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P80_D3_A80_W15,232,40.0,24.0,64.0,8.0,477.5,128.568,203.322,187.544,58.086,52.82,26.058,8.72
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P80_D3_A90_W15,232,26.0,12.0,46.0,5.0,335.0,86.971,202.076,104.99,3.34,77.6,23.903,8.84
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P80_D5_A80_W15,232,24.0,12.0,44.0,3.0,318.0,85.327,153.534,127.749,24.913,60.1,26.058,8.39
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P80_D5_A90_W15,232,16.0,5.0,34.0,2.0,236.5,63.472,152.632,70.59,1.031,80.32,23.903,8.52
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P85_D2_A80_W15,232,38.5,25.0,61.0,11.0,470.5,124.221,175.944,172.995,72.729,47.31,16.928,7.94
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P85_D2_A90_W15,232,23.0,11.0,42.0,6.0,316.5,80.888,175.545,110.609,7.017,72.48,16.027,7.94
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P85_D3_A80_W15,232,28.0,16.0,49.0,6.0,365.0,97.192,151.97,140.225,45.607,52.22,16.928,8.16
not_fully_imputed,Counties that are not fully imputed,HYB_TX_P85_D3_A90_W15,232,18.0,7.0,36.0,4.0,253.5,66.891,151.649,87.199,2.901,75.72,16.027,8.15
