state,variable,year,contributing_counties,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,series
TX,Tavg,1999,124,66.911,65.19,69.8,consistent_county_sample_A
TX,Tavg,2000,124,66.596,64.243,69.214,consistent_county_sample_A
TX,Tavg,2001,122,65.481,63.392,67.907,consistent_county_sample_A
TX,Tavg,2002,128,64.884,62.562,67.467,consistent_county_sample_A
TX,Tavg,2003,127,65.503,63.56,67.898,consistent_county_sample_A
TX,Tavg,2004,124,65.014,63.219,67.916,consistent_county_sample_A
TX,Tavg,2005,124,66.218,64.087,68.616,consistent_county_sample_A
TX,Tavg,2006,124,67.3,65.403,69.214,consistent_county_sample_A
TX,Tavg,2007,124,65.195,63.124,67.938,consistent_county_sample_A
TX,Tavg,2008,126,65.407,63.157,68.214,consistent_county_sample_A
TX,Tavg,2009,126,65.51,63.498,68.677,consistent_county_sample_A
TX,Tavg,2010,126,65.273,63.254,67.317,consistent_county_sample_A
TX,Tavg,2011,128,67.345,65.485,69.814,consistent_county_sample_A
TX,Tavg,2012,126,67.565,66.07,69.888,consistent_county_sample_A
TX,Tavg,2013,127,64.951,63.061,67.863,consistent_county_sample_A
TX,Tavg,2014,128,64.72,62.859,67.319,consistent_county_sample_A
TX,Tavg,2015,128,65.93,63.954,68.666,consistent_county_sample_A
TX,Tavg,2016,126,66.916,65.054,70.038,consistent_county_sample_A
TX,Tavg,2017,128,67.003,65.071,69.961,consistent_county_sample_A
TX,Tavg,2018,127,65.937,63.98,68.399,consistent_county_sample_A
TX,Tavg,2019,127,65.591,63.653,68.817,consistent_county_sample_A
TX,Tavg,2020,126,66.246,64.461,69.534,consistent_county_sample_A
TX,Tavg,2021,127,65.665,63.963,69.255,consistent_county_sample_A
TX,Tavg,2022,127,66.433,64.828,69.462,consistent_county_sample_A
TX,Tavg,2023,127,67.939,66.092,71.223,consistent_county_sample_A
TX,Tavg,2024,127,68.08,66.455,70.994,consistent_county_sample_A
TX,Tavg,2025,126,67.346,65.508,70.863,consistent_county_sample_A
TX,Tmax,1979,139,75.451,73.288,77.349,consistent_county_sample_A
TX,Tmax,1980,139,78.223,76.663,79.762,consistent_county_sample_A
TX,Tmax,1981,137,77.405,75.849,79.123,consistent_county_sample_A
TX,Tmax,1982,137,77.372,74.834,79.325,consistent_county_sample_A
TX,Tmax,1983,138,75.569,73.538,77.732,consistent_county_sample_A
TX,Tmax,1984,138,77.81,75.3,79.843,consistent_county_sample_A
TX,Tmax,1985,137,77.062,74.738,78.422,consistent_county_sample_A
TX,Tmax,1986,137,77.708,75.727,79.371,consistent_county_sample_A
TX,Tmax,1987,136,76.798,75.062,78.49,consistent_county_sample_A
TX,Tmax,1988,138,77.846,75.451,79.7,consistent_county_sample_A
TX,Tmax,1989,139,76.612,74.352,78.786,consistent_county_sample_A
TX,Tmax,1990,138,77.872,76.081,79.962,consistent_county_sample_A
TX,Tmax,1991,137,76.492,74.963,78.49,consistent_county_sample_A
TX,Tmax,1992,138,76.283,74.45,78.288,consistent_county_sample_A
TX,Tmax,1993,135,75.878,74.068,78.172,consistent_county_sample_A
TX,Tmax,1994,138,77.168,75.422,79.71,consistent_county_sample_A
TX,Tmax,1995,139,77.515,75.26,79.639,consistent_county_sample_A
TX,Tmax,1996,140,78.13,75.658,80.233,consistent_county_sample_A
TX,Tmax,1997,136,75.869,73.545,77.48,consistent_county_sample_A
TX,Tmax,1998,138,79.219,77.421,80.856,consistent_county_sample_A
TX,Tmax,1999,138,79.853,77.699,81.731,consistent_county_sample_A
TX,Tmax,2000,137,78.586,76.385,80.305,consistent_county_sample_A
TX,Tmax,2001,136,76.904,75.292,78.553,consistent_county_sample_A
TX,Tmax,2002,140,76.474,74.372,78.476,consistent_county_sample_A
TX,Tmax,2003,138,77.502,76.058,78.84,consistent_county_sample_A
TX,Tmax,2004,138,76.186,74.523,78.372,consistent_county_sample_A
TX,Tmax,2005,137,78.553,76.742,80.29,consistent_county_sample_A
TX,Tmax,2006,137,80.238,78.369,81.585,consistent_county_sample_A
TX,Tmax,2007,137,76.224,74.307,78.705,consistent_county_sample_A
TX,Tmax,2008,137,78.575,75.971,80.643,consistent_county_sample_A
TX,Tmax,2009,138,78.296,75.512,80.599,consistent_county_sample_A
TX,Tmax,2010,137,77.225,75.426,78.968,consistent_county_sample_A
TX,Tmax,2011,140,80.626,78.738,82.399,consistent_county_sample_A
TX,Tmax,2012,138,80.094,78.616,81.575,consistent_county_sample_A
TX,Tmax,2013,139,77.293,75.185,79.346,consistent_county_sample_A
TX,Tmax,2014,140,77.074,74.392,78.509,consistent_county_sample_A
TX,Tmax,2015,139,77.333,75.516,79.032,consistent_county_sample_A
TX,Tmax,2016,138,78.356,77.198,80.756,consistent_county_sample_A
TX,Tmax,2017,140,79.252,77.202,81.326,consistent_county_sample_A
TX,Tmax,2018,139,77.425,76.226,79.275,consistent_county_sample_A
TX,Tmax,2019,139,77.34,75.288,79.88,consistent_county_sample_A
TX,Tmax,2020,137,78.496,76.809,81.153,consistent_county_sample_A
TX,Tmax,2021,139,77.404,75.856,79.878,consistent_county_sample_A
TX,Tmax,2022,140,79.356,77.444,81.128,consistent_county_sample_A
TX,Tmax,2023,139,80.289,78.212,82.378,consistent_county_sample_A
TX,Tmax,2024,138,79.932,78.103,82.357,consistent_county_sample_A
TX,Tmax,2025,138,79.886,77.604,82.121,consistent_county_sample_A
TX,Tmin,1979,134,51.238,48.022,54.815,consistent_county_sample_A
TX,Tmin,1980,134,52.914,49.431,56.021,consistent_county_sample_A
TX,Tmin,1981,132,53.674,50.61,56.702,consistent_county_sample_A
TX,Tmin,1982,132,52.977,49.433,57.026,consistent_county_sample_A
TX,Tmin,1983,133,51.494,48.519,54.844,consistent_county_sample_A
TX,Tmin,1984,133,52.574,49.462,56.835,consistent_county_sample_A
TX,Tmin,1985,134,53.056,50.027,56.906,consistent_county_sample_A
TX,Tmin,1986,133,54.74,51.18,57.929,consistent_county_sample_A
TX,Tmin,1987,130,52.546,48.524,56.027,consistent_county_sample_A
TX,Tmin,1988,131,51.892,48.476,55.636,consistent_county_sample_A
TX,Tmin,1989,134,51.994,48.834,56.212,consistent_county_sample_A
TX,Tmin,1990,133,54.351,50.852,57.9,consistent_county_sample_A
TX,Tmin,1991,131,53.837,50.416,58.042,consistent_county_sample_A
TX,Tmin,1992,133,52.975,49.759,56.934,consistent_county_sample_A
TX,Tmin,1993,130,52.36,49.302,55.781,consistent_county_sample_A
TX,Tmin,1994,130,53.42,50.31,57.288,consistent_county_sample_A
TX,Tmin,1995,133,53.101,49.904,56.984,consistent_county_sample_A
TX,Tmin,1996,134,52.584,49.643,56.819,consistent_county_sample_A
TX,Tmin,1997,131,52.778,49.502,56.63,consistent_county_sample_A
TX,Tmin,1998,135,56.052,52.296,59.198,consistent_county_sample_A
TX,Tmin,1999,132,54.121,51.432,57.731,consistent_county_sample_A
TX,Tmin,2000,131,54.295,52.076,58.028,consistent_county_sample_A
TX,Tmin,2001,130,54.069,51.492,57.541,consistent_county_sample_A
TX,Tmin,2002,133,53.203,50.474,56.764,consistent_county_sample_A
TX,Tmin,2003,132,53.508,50.739,56.883,consistent_county_sample_A
TX,Tmin,2004,132,54.107,51.71,57.746,consistent_county_sample_A
TX,Tmin,2005,131,53.683,50.848,56.896,consistent_county_sample_A
TX,Tmin,2006,131,54.649,51.978,57.612,consistent_county_sample_A
TX,Tmin,2007,131,53.95,50.69,57.389,consistent_county_sample_A
TX,Tmin,2008,133,52.906,49.759,55.974,consistent_county_sample_A
TX,Tmin,2009,133,53.707,50.569,56.901,consistent_county_sample_A
TX,Tmin,2010,133,53.424,50.265,55.873,consistent_county_sample_A
TX,Tmin,2011,135,54.294,51.57,57.296,consistent_county_sample_A
TX,Tmin,2012,133,55.35,52.615,58.487,consistent_county_sample_A
TX,Tmin,2013,134,53.2,50.262,56.327,consistent_county_sample_A
TX,Tmin,2014,135,53.038,50.038,56.413,consistent_county_sample_A
TX,Tmin,2015,135,55.234,51.265,58.116,consistent_county_sample_A
TX,Tmin,2016,133,56.095,52.651,59.122,consistent_county_sample_A
TX,Tmin,2017,135,55.722,51.785,59.149,consistent_county_sample_A
TX,Tmin,2018,134,54.601,51.306,58.333,consistent_county_sample_A
TX,Tmin,2019,134,54.571,50.712,58.221,consistent_county_sample_A
TX,Tmin,2020,133,54.98,51.132,58.462,consistent_county_sample_A
TX,Tmin,2021,134,54.825,51.124,58.618,consistent_county_sample_A
TX,Tmin,2022,134,54.346,51.205,57.858,consistent_county_sample_A
TX,Tmin,2023,134,56.457,52.87,60.389,consistent_county_sample_A
TX,Tmin,2024,133,56.648,53.628,60.281,consistent_county_sample_A
TX,Tmin,2025,133,55.793,52.459,59.845,consistent_county_sample_A
AL,Tavg,1979,25,61.96,60.698,63.795,consistent_county_excluding_recent_period
AL,Tavg,1980,26,62.89,61.542,64.748,consistent_county_excluding_recent_period
AL,Tavg,1981,26,62.66,60.923,63.943,consistent_county_excluding_recent_period
AL,Tavg,1982,24,63.364,60.927,65.682,consistent_county_excluding_recent_period
AL,Tavg,1983,25,61.193,59.414,63.215,consistent_county_excluding_recent_period
AL,Tavg,1984,25,62.676,61.825,65.003,consistent_county_excluding_recent_period
AL,Tavg,1985,26,62.768,61.21,65.346,consistent_county_excluding_recent_period
AL,Tavg,1986,26,64.018,62.56,66.187,consistent_county_excluding_recent_period
AL,Tavg,1987,26,63.529,62.108,64.716,consistent_county_excluding_recent_period
AL,Tavg,1988,24,62.074,60.722,63.936,consistent_county_excluding_recent_period
AL,Tavg,1989,25,62.269,60.425,63.984,consistent_county_excluding_recent_period
AL,Tavg,1990,26,64.944,63.768,66.824,consistent_county_excluding_recent_period
AL,Tavg,1991,26,64.39,62.925,65.308,consistent_county_excluding_recent_period
AL,Tavg,1992,26,62.518,60.757,63.67,consistent_county_excluding_recent_period
AL,Tavg,1993,25,62.558,61.111,64.114,consistent_county_excluding_recent_period
AL,Tavg,1994,25,63.288,61.587,64.786,consistent_county_excluding_recent_period
AL,Tavg,1995,25,63.38,61.433,64.618,consistent_county_excluding_recent_period
AL,Tavg,1996,25,62.193,59.882,63.718,consistent_county_excluding_recent_period
AL,Tavg,1997,26,62.344,60.558,64.252,consistent_county_excluding_recent_period
AL,Tavg,1998,26,64.889,63.694,66.664,consistent_county_excluding_recent_period
AL,Tavg,1999,26,63.77,63.194,65.276,consistent_county_excluding_recent_period
AL,Tavg,2000,25,63.413,62.028,64.783,consistent_county_excluding_recent_period
AL,Tavg,2001,26,62.969,61.644,64.517,consistent_county_excluding_recent_period
AL,Tavg,2002,26,63.656,62.186,65.142,consistent_county_excluding_recent_period
AL,Tavg,2003,24,62.526,60.818,64.53,consistent_county_excluding_recent_period
AL,Tavg,2004,26,63.279,62.128,64.65,consistent_county_excluding_recent_period
AL,Tavg,2005,25,63.115,61.863,64.952,consistent_county_excluding_recent_period
AL,Tavg,2006,25,64.193,62.827,66.189,consistent_county_excluding_recent_period
AL,Tavg,2007,26,64.572,62.809,66.128,consistent_county_excluding_recent_period
AL,Tavg,2008,26,62.8,61.147,64.89,consistent_county_excluding_recent_period
AL,Tavg,2009,25,62.982,60.637,64.556,consistent_county_excluding_recent_period
AL,Tavg,2010,26,62.876,61.188,64.254,consistent_county_excluding_recent_period
AL,Tavg,2011,26,63.763,61.99,65.494,consistent_county_excluding_recent_period
AL,Tavg,2012,26,64.866,62.99,66.186,consistent_county_excluding_recent_period
AL,Tavg,2013,26,62.528,59.997,64.884,consistent_county_excluding_recent_period
AL,Tavg,2014,26,62.398,59.985,64.049,consistent_county_excluding_recent_period
AL,Tavg,2015,26,65.183,62.612,66.593,consistent_county_excluding_recent_period
AL,Tavg,2016,26,65.914,63.608,66.63,consistent_county_excluding_recent_period
AL,Tavg,2017,26,65.471,63.139,66.644,consistent_county_excluding_recent_period
AL,Tavg,2018,26,65.006,62.318,66.307,consistent_county_excluding_recent_period
AL,Tavg,2019,26,65.632,63.313,67.399,consistent_county_excluding_recent_period
AL,Tmax,1979,28,73.026,71.395,75.256,consistent_county_excluding_recent_period
AL,Tmax,1980,28,74.628,73.558,76.705,consistent_county_excluding_recent_period
AL,Tmax,1981,28,75.286,73.4,76.416,consistent_county_excluding_recent_period
AL,Tmax,1982,26,74.846,73.816,77.022,consistent_county_excluding_recent_period
AL,Tmax,1983,28,72.852,71.201,74.711,consistent_county_excluding_recent_period
AL,Tmax,1984,28,75.113,73.38,77.143,consistent_county_excluding_recent_period
AL,Tmax,1985,28,74.46,72.347,76.68,consistent_county_excluding_recent_period
AL,Tmax,1986,28,76.402,74.402,77.623,consistent_county_excluding_recent_period
AL,Tmax,1987,28,75.456,73.84,76.574,consistent_county_excluding_recent_period
AL,Tmax,1988,27,74.534,72.259,75.666,consistent_county_excluding_recent_period
AL,Tmax,1989,28,73.645,71.204,74.745,consistent_county_excluding_recent_period
AL,Tmax,1990,28,77.584,75.577,79.059,consistent_county_excluding_recent_period
AL,Tmax,1991,28,75.254,73.638,76.036,consistent_county_excluding_recent_period
AL,Tmax,1992,28,73.637,71.786,74.431,consistent_county_excluding_recent_period
AL,Tmax,1993,27,74.182,72.369,75.368,consistent_county_excluding_recent_period
AL,Tmax,1994,27,74.243,72.918,75.502,consistent_county_excluding_recent_period
AL,Tmax,1995,28,74.99,73.245,76.074,consistent_county_excluding_recent_period
AL,Tmax,1996,27,73.678,72.202,75.216,consistent_county_excluding_recent_period
AL,Tmax,1997,28,73.74,72.251,75.11,consistent_county_excluding_recent_period
AL,Tmax,1998,28,76.589,74.942,77.598,consistent_county_excluding_recent_period
AL,Tmax,1999,28,76.771,75.272,77.387,consistent_county_excluding_recent_period
AL,Tmax,2000,28,76.216,74.149,77.34,consistent_county_excluding_recent_period
AL,Tmax,2001,28,74.965,72.929,76.413,consistent_county_excluding_recent_period
AL,Tmax,2002,28,75.48,73.217,76.716,consistent_county_excluding_recent_period
AL,Tmax,2003,28,74.436,72.134,75.672,consistent_county_excluding_recent_period
AL,Tmax,2004,28,74.83,72.954,76.085,consistent_county_excluding_recent_period
AL,Tmax,2005,28,75.28,73.46,76.72,consistent_county_excluding_recent_period
AL,Tmax,2006,27,77.34,75.816,78.604,consistent_county_excluding_recent_period
AL,Tmax,2007,28,77.206,76.01,78.312,consistent_county_excluding_recent_period
AL,Tmax,2008,28,74.524,73.275,76.485,consistent_county_excluding_recent_period
AL,Tmax,2009,27,73.51,72.192,75.754,consistent_county_excluding_recent_period
AL,Tmax,2010,28,75.026,73.373,76.313,consistent_county_excluding_recent_period
AL,Tmax,2011,28,76.093,73.876,77.887,consistent_county_excluding_recent_period
AL,Tmax,2012,28,76.664,75.003,78.156,consistent_county_excluding_recent_period
AL,Tmax,2013,28,73.089,70.984,75.794,consistent_county_excluding_recent_period
AL,Tmax,2014,28,74.215,71.1,75.613,consistent_county_excluding_recent_period
AL,Tmax,2015,28,76.119,72.855,77.738,consistent_county_excluding_recent_period
AL,Tmax,2016,27,77.555,75.86,78.614,consistent_county_excluding_recent_period
AL,Tmax,2017,28,75.878,74.171,77.902,consistent_county_excluding_recent_period
AL,Tmax,2018,28,75.149,72.838,77.362,consistent_county_excluding_recent_period
AL,Tmax,2019,28,76.946,74.087,78.642,consistent_county_excluding_recent_period
AL,Tmin,1979,27,50.421,49.122,51.65,consistent_county_excluding_recent_period
AL,Tmin,1980,27,50.801,49.655,52.151,consistent_county_excluding_recent_period
AL,Tmin,1981,27,49.954,49.202,51.169,consistent_county_excluding_recent_period
AL,Tmin,1982,25,52.312,50.51,53.68,consistent_county_excluding_recent_period
AL,Tmin,1983,27,49.847,48.689,51.368,consistent_county_excluding_recent_period
AL,Tmin,1984,26,50.932,49.47,52.5,consistent_county_excluding_recent_period
AL,Tmin,1985,27,51.749,50.163,53.83,consistent_county_excluding_recent_period
AL,Tmin,1986,27,52.291,50.9,54.572,consistent_county_excluding_recent_period
AL,Tmin,1987,27,51.417,50.003,52.912,consistent_county_excluding_recent_period
AL,Tmin,1988,25,50.304,48.814,51.972,consistent_county_excluding_recent_period
AL,Tmin,1989,26,51.646,49.757,52.66,consistent_county_excluding_recent_period
AL,Tmin,1990,27,52.919,51.05,54.21,consistent_county_excluding_recent_period
AL,Tmin,1991,27,53.79,51.782,54.532,consistent_county_excluding_recent_period
AL,Tmin,1992,27,51.446,49.393,52.717,consistent_county_excluding_recent_period
AL,Tmin,1993,26,51.596,48.786,52.836,consistent_county_excluding_recent_period
AL,Tmin,1994,26,52.73,49.743,53.943,consistent_county_excluding_recent_period
AL,Tmin,1995,26,51.414,49.19,52.923,consistent_county_excluding_recent_period
AL,Tmin,1996,26,50.382,48.353,52.141,consistent_county_excluding_recent_period
AL,Tmin,1997,27,51.199,49.024,53.051,consistent_county_excluding_recent_period
AL,Tmin,1998,27,53.392,52.168,55.585,consistent_county_excluding_recent_period
AL,Tmin,1999,27,51.432,50.546,53.59,consistent_county_excluding_recent_period
AL,Tmin,2000,26,50.69,49.982,52.683,consistent_county_excluding_recent_period
AL,Tmin,2001,27,50.976,50.116,52.922,consistent_county_excluding_recent_period
AL,Tmin,2002,27,52.176,50.862,54.015,consistent_county_excluding_recent_period
AL,Tmin,2003,25,51.607,49.761,53.389,consistent_county_excluding_recent_period
AL,Tmin,2004,27,52.077,50.775,53.872,consistent_county_excluding_recent_period
AL,Tmin,2005,25,51.54,49.694,53.297,consistent_county_excluding_recent_period
AL,Tmin,2006,26,51.915,49.945,53.619,consistent_county_excluding_recent_period
AL,Tmin,2007,27,52.465,50.308,53.894,consistent_county_excluding_recent_period
AL,Tmin,2008,27,51.558,48.915,52.88,consistent_county_excluding_recent_period
AL,Tmin,2009,26,52.712,50.232,53.768,consistent_county_excluding_recent_period
AL,Tmin,2010,27,50.911,49.248,52.168,consistent_county_excluding_recent_period
AL,Tmin,2011,27,51.615,50.207,53.159,consistent_county_excluding_recent_period
AL,Tmin,2012,27,53.404,51.198,54.702,consistent_county_excluding_recent_period
AL,Tmin,2013,27,52.105,49.34,53.3,consistent_county_excluding_recent_period
AL,Tmin,2014,27,50.594,48.578,51.749,consistent_county_excluding_recent_period
AL,Tmin,2015,27,54.296,51.884,55.566,consistent_county_excluding_recent_period
AL,Tmin,2016,27,53.832,51.616,54.956,consistent_county_excluding_recent_period
AL,Tmin,2017,27,54.515,52.221,55.408,consistent_county_excluding_recent_period
AL,Tmin,2018,27,54.291,51.74,55.282,consistent_county_excluding_recent_period
AL,Tmin,2019,27,54.213,52.142,55.764,consistent_county_excluding_recent_period
FL,Tavg,1979,31,72.033,69.896,73.184,consistent_county_excluding_recent_period
FL,Tavg,1980,32,71.947,69.922,72.865,consistent_county_excluding_recent_period
FL,Tavg,1981,32,71.26,69.124,72.038,consistent_county_excluding_recent_period
FL,Tavg,1982,31,73.701,71.144,74.608,consistent_county_excluding_recent_period
FL,Tavg,1983,32,71.5,69.103,72.813,consistent_county_excluding_recent_period
FL,Tavg,1984,31,71.785,69.438,72.887,consistent_county_excluding_recent_period
FL,Tavg,1985,32,72.658,70.553,73.686,consistent_county_excluding_recent_period
FL,Tavg,1986,32,73.328,70.835,74.406,consistent_county_excluding_recent_period
FL,Tavg,1987,32,71.86,69.562,73.274,consistent_county_excluding_recent_period
FL,Tavg,1988,32,71.556,68.956,73.034,consistent_county_excluding_recent_period
FL,Tavg,1989,32,73.094,70.585,74.157,consistent_county_excluding_recent_period
FL,Tavg,1990,32,74.486,72.262,75.102,consistent_county_excluding_recent_period
FL,Tavg,1991,31,73.611,71.406,74.674,consistent_county_excluding_recent_period
FL,Tavg,1992,31,72.303,70.248,73.405,consistent_county_excluding_recent_period
FL,Tavg,1993,32,72.158,69.966,73.287,consistent_county_excluding_recent_period
FL,Tavg,1994,30,73.714,71.618,74.703,consistent_county_excluding_recent_period
FL,Tavg,1995,30,72.652,70.109,73.82,consistent_county_excluding_recent_period
FL,Tavg,1996,31,71.611,68.957,73.063,consistent_county_excluding_recent_period
FL,Tavg,1997,32,72.756,70.485,74.517,consistent_county_excluding_recent_period
FL,Tavg,1998,32,73.765,71.777,75.141,consistent_county_excluding_recent_period
FL,Tavg,1999,32,72.58,70.893,73.764,consistent_county_excluding_recent_period
FL,Tavg,2000,31,72.034,70.019,73.279,consistent_county_excluding_recent_period
FL,Tavg,2001,31,72.625,70.068,73.346,consistent_county_excluding_recent_period
FL,Tavg,2002,32,73.054,71.014,73.919,consistent_county_excluding_recent_period
FL,Tavg,2003,32,72.764,70.363,73.866,consistent_county_excluding_recent_period
FL,Tavg,2004,32,72.404,70.323,73.199,consistent_county_excluding_recent_period
FL,Tavg,2005,32,72.322,70.297,73.353,consistent_county_excluding_recent_period
FL,Tavg,2006,32,72.867,71.091,73.709,consistent_county_excluding_recent_period
FL,Tavg,2007,32,73.624,71.556,74.166,consistent_county_excluding_recent_period
FL,Tavg,2008,32,72.755,70.382,73.83,consistent_county_excluding_recent_period
FL,Tavg,2009,32,73.301,71.161,74.086,consistent_county_excluding_recent_period
FL,Tavg,2010,32,70.65,68.468,71.806,consistent_county_excluding_recent_period
FL,Tavg,2011,32,73.23,71.176,74.347,consistent_county_excluding_recent_period
FL,Tavg,2012,32,73.324,71.311,74.372,consistent_county_excluding_recent_period
FL,Tavg,2013,32,73.502,71.288,74.61,consistent_county_excluding_recent_period
FL,Tavg,2014,31,72.677,70.08,73.608,consistent_county_excluding_recent_period
FL,Tavg,2015,32,75.333,73.082,76.062,consistent_county_excluding_recent_period
FL,Tavg,2016,32,74.03,71.913,74.743,consistent_county_excluding_recent_period
FL,Tavg,2017,32,74.556,72.72,75.509,consistent_county_excluding_recent_period
FL,Tavg,2018,32,73.882,71.727,74.81,consistent_county_excluding_recent_period
FL,Tavg,2019,31,74.745,73.13,75.703,consistent_county_excluding_recent_period
FL,Tmax,1979,36,82.138,80.105,83.375,consistent_county_excluding_recent_period
FL,Tmax,1980,37,82.099,80.936,83.375,consistent_county_excluding_recent_period
FL,Tmax,1981,37,82.451,80.487,83.784,consistent_county_excluding_recent_period
FL,Tmax,1982,37,83.377,81.897,84.521,consistent_county_excluding_recent_period
FL,Tmax,1983,37,80.895,79.69,82.673,consistent_county_excluding_recent_period
FL,Tmax,1984,36,81.87,80.122,83.292,consistent_county_excluding_recent_period
FL,Tmax,1985,37,83.132,80.806,84.416,consistent_county_excluding_recent_period
FL,Tmax,1986,35,83.247,81.565,84.556,consistent_county_excluding_recent_period
FL,Tmax,1987,36,82.024,79.98,83.461,consistent_county_excluding_recent_period
FL,Tmax,1988,36,81.85,79.643,83.3,consistent_county_excluding_recent_period
FL,Tmax,1989,37,83.53,81.558,84.889,consistent_county_excluding_recent_period
FL,Tmax,1990,36,84.573,83.156,85.771,consistent_county_excluding_recent_period
FL,Tmax,1991,36,83.23,81.094,84.488,consistent_county_excluding_recent_period
FL,Tmax,1992,36,81.92,79.683,83.242,consistent_county_excluding_recent_period
FL,Tmax,1993,37,82.005,80.334,83.278,consistent_county_excluding_recent_period
FL,Tmax,1994,36,82.923,80.51,84.055,consistent_county_excluding_recent_period
FL,Tmax,1995,34,82.082,80.256,83.425,consistent_county_excluding_recent_period
FL,Tmax,1996,37,81.709,79.701,82.861,consistent_county_excluding_recent_period
FL,Tmax,1997,37,82.756,81.099,84.242,consistent_county_excluding_recent_period
FL,Tmax,1998,37,83.595,82.088,84.303,consistent_county_excluding_recent_period
FL,Tmax,1999,36,82.646,81.37,83.587,consistent_county_excluding_recent_period
FL,Tmax,2000,36,82.712,80.946,83.688,consistent_county_excluding_recent_period
FL,Tmax,2001,37,82.184,80.999,83.294,consistent_county_excluding_recent_period
FL,Tmax,2002,37,82.412,80.699,83.924,consistent_county_excluding_recent_period
FL,Tmax,2003,37,82.05,80.35,83.456,consistent_county_excluding_recent_period
FL,Tmax,2004,37,81.983,80.29,83.276,consistent_county_excluding_recent_period
FL,Tmax,2005,37,81.588,79.99,82.847,consistent_county_excluding_recent_period
FL,Tmax,2006,37,82.969,81.217,83.802,consistent_county_excluding_recent_period
FL,Tmax,2007,37,82.958,81.514,84.246,consistent_county_excluding_recent_period
FL,Tmax,2008,35,82.114,80.627,83.743,consistent_county_excluding_recent_period
FL,Tmax,2009,37,82.798,80.967,84.173,consistent_county_excluding_recent_period
FL,Tmax,2010,36,80.341,79.408,81.987,consistent_county_excluding_recent_period
FL,Tmax,2011,37,83.434,81.756,84.497,consistent_county_excluding_recent_period
FL,Tmax,2012,37,82.7,81.58,83.79,consistent_county_excluding_recent_period
FL,Tmax,2013,37,82.633,80.903,83.591,consistent_county_excluding_recent_period
FL,Tmax,2014,36,81.943,80.184,83.457,consistent_county_excluding_recent_period
FL,Tmax,2015,37,84.172,82.196,85.272,consistent_county_excluding_recent_period
FL,Tmax,2016,37,83.736,81.908,84.497,consistent_county_excluding_recent_period
FL,Tmax,2017,37,84.022,82.162,85.307,consistent_county_excluding_recent_period
FL,Tmax,2018,36,83.03,80.346,84.634,consistent_county_excluding_recent_period
FL,Tmax,2019,35,84.207,82.385,85.128,consistent_county_excluding_recent_period
FL,Tmin,1979,34,61.328,58.938,63.49,consistent_county_excluding_recent_period
FL,Tmin,1980,34,60.969,58.714,62.282,consistent_county_excluding_recent_period
FL,Tmin,1981,34,59.584,57.367,60.438,consistent_county_excluding_recent_period
FL,Tmin,1982,33,62.985,60.924,64.691,consistent_county_excluding_recent_period
FL,Tmin,1983,34,61.174,58.37,63.308,consistent_county_excluding_recent_period
FL,Tmin,1984,34,61.103,58.638,63.0,consistent_county_excluding_recent_period
FL,Tmin,1985,34,61.649,59.895,63.19,consistent_county_excluding_recent_period
FL,Tmin,1986,34,62.498,60.809,63.996,consistent_county_excluding_recent_period
FL,Tmin,1987,33,61.467,59.411,63.14,consistent_county_excluding_recent_period
FL,Tmin,1988,33,61.158,58.496,62.841,consistent_county_excluding_recent_period
FL,Tmin,1989,34,61.911,59.874,63.132,consistent_county_excluding_recent_period
FL,Tmin,1990,34,62.915,61.884,64.626,consistent_county_excluding_recent_period
FL,Tmin,1991,33,63.205,61.788,64.956,consistent_county_excluding_recent_period
FL,Tmin,1992,33,61.794,59.936,63.446,consistent_county_excluding_recent_period
FL,Tmin,1993,34,61.573,59.49,63.867,consistent_county_excluding_recent_period
FL,Tmin,1994,33,63.538,61.681,65.402,consistent_county_excluding_recent_period
FL,Tmin,1995,32,62.36,60.387,63.678,consistent_county_excluding_recent_period
FL,Tmin,1996,34,60.996,58.256,62.555,consistent_county_excluding_recent_period
FL,Tmin,1997,34,62.497,59.948,64.296,consistent_county_excluding_recent_period
FL,Tmin,1998,34,63.962,62.054,65.38,consistent_county_excluding_recent_period
FL,Tmin,1999,34,62.305,59.82,63.597,consistent_county_excluding_recent_period
FL,Tmin,2000,33,61.708,58.485,62.589,consistent_county_excluding_recent_period
FL,Tmin,2001,33,62.706,59.507,63.226,consistent_county_excluding_recent_period
FL,Tmin,2002,34,62.848,60.217,64.08,consistent_county_excluding_recent_period
FL,Tmin,2003,34,62.94,60.416,64.044,consistent_county_excluding_recent_period
FL,Tmin,2004,34,62.332,59.903,63.846,consistent_county_excluding_recent_period
FL,Tmin,2005,34,63.166,60.408,63.812,consistent_county_excluding_recent_period
FL,Tmin,2006,34,62.475,59.841,63.541,consistent_county_excluding_recent_period
FL,Tmin,2007,34,63.316,61.067,64.881,consistent_county_excluding_recent_period
FL,Tmin,2008,34,62.535,59.615,63.907,consistent_county_excluding_recent_period
FL,Tmin,2009,34,62.838,60.32,63.844,consistent_county_excluding_recent_period
FL,Tmin,2010,34,60.376,57.852,61.82,consistent_county_excluding_recent_period
FL,Tmin,2011,34,62.89,59.682,64.361,consistent_county_excluding_recent_period
FL,Tmin,2012,34,63.284,60.667,64.58,consistent_county_excluding_recent_period
