axis,run_a,run_b,definition_a,definition_b,value_a,value_b,metric,percentile,min_duration,window
metric,TMAX_P90_3D__month,TMIN_P90_3D__month,TMAX_P90_3D,TMIN_P90_3D,TMAX,TMIN,,90,3,month
percentile,TMAX_P90_3D__month,TMAX_P85_3D__month,TMAX_P90_3D,TMAX_P85_3D,90,85,TMAX,,3,month
percentile,TMAX_P90_3D__month,TMAX_P95_3D__month,TMAX_P90_3D,TMAX_P95_3D,90,95,TMAX,,3,month
metric,TMAX_P90_3D__month,MHI_P90_3D__month,TMAX_P90_3D,MHI_P90_3D,TMAX,MHI,,90,3,month
metric,TMAX_P90_3D__month_pm7,TMIN_P90_3D__month_pm7,TMAX_P90_3D,TMIN_P90_3D,TMAX,TMIN,,90,3,month_pm7
percentile,TMAX_P90_3D__month_pm7,TMAX_P85_3D__month_pm7,TMAX_P90_3D,TMAX_P85_3D,90,85,TMAX,,3,month_pm7
percentile,TMAX_P90_3D__month_pm7,TMAX_P95_3D__month_pm7,TMAX_P90_3D,TMAX_P95_3D,90,95,TMAX,,3,month_pm7
metric,TMAX_P90_3D__month_pm7,MHI_P90_3D__month_pm7,TMAX_P90_3D,MHI_P90_3D,TMAX,MHI,,90,3,month_pm7
window,TMIN_P90_3D__w05,TMIN_P90_3D__w15,TMIN_P90_3D,TMIN_P90_3D,w05,w15,TMIN,90,3,
window,TMIN_P90_3D__w05,TMIN_P90_3D__month,TMIN_P90_3D,TMIN_P90_3D,w05,month,TMIN,90,3,
window,TMIN_P90_3D__w05,TMIN_P90_3D__month_pm7,TMIN_P90_3D,TMIN_P90_3D,w05,month_pm7,TMIN,90,3,
percentile,TMIN_P90_3D__w05,TMIN_P85_3D__w05,TMIN_P90_3D,TMIN_P85_3D,90,85,TMIN,,3,w05
percentile,TMIN_P90_3D__w05,TMIN_P95_3D__w05,TMIN_P90_3D,TMIN_P95_3D,90,95,TMIN,,3,w05
metric,TMIN_P90_3D__w05,MHI_P90_3D__w05,TMIN_P90_3D,MHI_P90_3D,TMIN,MHI,,90,3,w05
window,TMIN_P90_3D__w15,TMIN_P90_3D__month,TMIN_P90_3D,TMIN_P90_3D,w15,month,TMIN,90,3,
